R	0	Verify Formal AI supports recursive binary task decomposition from atomic leaves through the complete 32-leaf level.	all_children_pass	1	2
1.2.1.1	4	Complete recursive decomposition node 1.2.1.1, covering atomic tasks L09–L10; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.1.1.1	1.2.1.1.2
1.2.1.1.1	5	Atomic task L09: Inspect the binary decomposition invariant and explain the exactly-two-children requirement.	observable evidence exists		
1.2.1.1.2	5	Atomic task L10: Verify the invariant explicitly names the supported power-of-two levels through 32.	observable evidence exists		
1.2.1.2	4	Complete recursive decomposition node 1.2.1.2, covering atomic tasks L11–L12; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.1.2.1	1.2.1.2.2
1.2.1.2.1	5	Atomic task L11: Add or verify regression coverage for a two-node decomposition at depth one.	observable evidence exists		
1.2.1.2.2	5	Atomic task L12: Add or verify regression coverage for a four-node decomposition at depth two.	observable evidence exists		
1.2.2	3	Complete recursive decomposition node 1.2.2, covering atomic tasks L13–L16; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.2.1	1.2.2.2
1.2.2.1	4	Complete recursive decomposition node 1.2.2.1, covering atomic tasks L13–L14; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.2.1.1	1.2.2.1.2
1.2.2.1.1	5	Atomic task L13: Add or verify regression coverage for an eight-node decomposition at depth three.	observable evidence exists		
1.2.2.1.2	5	Atomic task L14: Add or verify regression coverage for a sixteen-node decomposition at depth four.	observable evidence exists		
1.2.2.2	4	Complete recursive decomposition node 1.2.2.2, covering atomic tasks L15–L16; both child nodes must produce independently checkable evidence.	all_children_pass	1.2.2.2.1	1.2.2.2.2
1.2.2.2.1	5	Atomic task L15: Add or verify regression coverage for a thirty-two-node decomposition at depth five.	observable evidence exists		
1.2.2.2.2	5	Atomic task L16: Verify every tested internal node has exactly two children and never three or more.	observable evidence exists		
2	1	Complete recursive decomposition node 2, covering atomic tasks L17–L32; both child nodes must produce independently checkable evidence.	all_children_pass	2.1	2.2
2.1	2	Complete recursive decomposition node 2.1, covering atomic tasks L17–L24; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.1	2.1.2
2.1.1	3	Complete recursive decomposition node 2.1.1, covering atomic tasks L17–L20; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.1.1	2.1.1.2
2.1.1.1	4	Complete recursive decomposition node 2.1.1.1, covering atomic tasks L17–L18; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.1.1.1	2.1.1.1.2
2.1.1.1.1	5	Atomic task L17: Verify every tested leaf is atomic and independently checkable.	observable evidence exists		
2.1.1.1.2	5	Atomic task L18: Verify every tested node has a stable id and a unique dotted path.	observable evidence exists		
2.1.1.2	4	Complete recursive decomposition node 2.1.1.2, covering atomic tasks L19–L20; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.1.2.1	2.1.1.2.2
2.1.1.2.1	5	Atomic task L19: Verify child paths follow the binary 1/2 convention at every depth.	observable evidence exists		
2.1.1.2.2	5	Atomic task L20: Verify the node count of a complete depth-five tree is exactly 63 including the root.	observable evidence exists		
2.1.2	3	Complete recursive decomposition node 2.1.2, covering atomic tasks L21–L24; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.2.1	2.1.2.2
2.1.2.1	4	Complete recursive decomposition node 2.1.2.1, covering atomic tasks L21–L22; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.2.1.1	2.1.2.1.2
2.1.2.1.1	5	Atomic task L21: Inspect the Agent-CLI ladder workflow and verify depth selection supports 0 through 5 and all.	observable evidence exists		
2.1.2.1.2	5	Atomic task L22: Verify a single node can be selected by dotted binary path for focused debugging.	observable evidence exists		
2.1.2.2	4	Complete recursive decomposition node 2.1.2.2, covering atomic tasks L23–L24; both child nodes must produce independently checkable evidence.	all_children_pass	2.1.2.2.1	2.1.2.2.2
2.1.2.2.1	5	Atomic task L23: Verify the ladder can execute the 32 smallest leaves before moving to larger composite nodes.	observable evidence exists		
2.1.2.2.2	5	Atomic task L24: Verify the ladder order for all mode is 32, 16, 8, 4, 2, then the root.	observable evidence exists		
2.2	2	Complete recursive decomposition node 2.2, covering atomic tasks L25–L32; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.1	2.2.2
2.2.1	3	Complete recursive decomposition node 2.2.1, covering atomic tasks L25–L28; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.1.1	2.2.1.2
2.2.1.1	4	Complete recursive decomposition node 2.2.1.1, covering atomic tasks L25–L26; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.1.1.1	2.2.1.1.2
2.2.1.1.1	5	Atomic task L25: Verify every selected node runs in a fresh temporary repository copy.	observable evidence exists		
2.2.1.1.2	5	Atomic task L26: Verify every selected node uses the real Agent CLI against the real Formal AI server.	observable evidence exists		
2.2.1.2	4	Complete recursive decomposition node 2.2.1.2, covering atomic tasks L27–L28; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.1.2.1	2.2.1.2.2
2.2.1.2.1	5	Atomic task L27: Verify every selected node requires an observable proof file with its exact node path.	observable evidence exists		
2.2.1.2.2	5	Atomic task L28: Inspect the committed binary-tree case-study and verify it describes a tree rather than a flat list.	observable evidence exists		
2.2.2	3	Complete recursive decomposition node 2.2.2, covering atomic tasks L29–L32; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.2.1	2.2.2.2
2.2.2.1	4	Complete recursive decomposition node 2.2.2.1, covering atomic tasks L29–L30; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.2.1.1	2.2.2.1.2
2.2.2.1.1	5	Atomic task L29: Verify the case-study lists exactly 32 distinct atomic leaf formulations.	observable evidence exists		
2.2.2.1.2	5	Atomic task L30: Verify the case-study path structure contains every binary path from depth one through five.	observable evidence exists		
2.2.2.2	4	Complete recursive decomposition node 2.2.2.2, covering atomic tasks L31–L32; both child nodes must produce independently checkable evidence.	all_children_pass	2.2.2.2.1	2.2.2.2.2
2.2.2.2.1	5	Atomic task L31: Use a differently worded decomposition request to check that the capability is not phrase-specific.	observable evidence exists		
2.2.2.2.2	5	Atomic task L32: Produce a final evidence note containing the selected tree level, node outcomes, test results, and session id.	observable evidence exists		
